ID,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=d3d120eb1e0e54cb,Backend Application Developer,이베이 코리아 서울 강남구,,개발 [필수사항] - 총 경력 3년 ~ 12년 - Backend application 개발 경력 3 년 이상 - java 개발 경험이 풍부하고 기타 다른 언어 (1 개 이상 ) 를 습득 하신 분 - Spring 프레임워크...
https://kr.indeed.com/viewjob?jk=a0dda478567db352,"(주)트윔 개발자(경력직) 빅데이터,영상처리,머신비전/AI 딥러닝",트윔 경기도 화성,,"광학계 개발 경험자 - RBM/DBN/CNN/RNN 등 딥러닝 이론 및 알고리즘 유경험자 - C/C++, Java, Python/TensorFlow/Caffe 사용가능자 - Matlab/R 분석틀 사용 가능자 - 인근 거주자..."
https://kr.indeed.com/viewjob?jk=aee052f65e4527f2,JAVA개발 신입/경력 정규직,실크로드소프트 수원 영통구,,소프트 JAVA개발 신입/경력 정규직 채용 모집부문 및 자격요건 모집부문 담당업무 자격요건 인원 JAVA개발 [담당업무] [ Java 기반 솔루션 개발... 터링 솔루션 Backend 개발 - Java 기반의 데이터 정합성 검증 및...
https://kr.indeed.com/viewjob?jk=562bef0c869dbefd,[기술부문/기술지원 엔지니어] 티맥스그룹 2021년 상반기 특별,티맥스소프트 성남 분당구,,"학사) 이상 기졸업 또는 졸업 예정이신 분 ㆍ 경력의 경우 해당 경력 2년 이상인 분 [상세] ㆍ C/ Java, Java-script 기반의 프로젝트 개발 경험자 ㆍ 프레임워크, 인터페이스(FEP, EAI, MCI) 기반..."
https://kr.indeed.com/viewjob?jk=d7e69e0f9a80c166,"(주)엘앰캐드 웹 프로그래머(JAVA, Spring, Javascript...",엘앰캐드 서울 강남구,,"PDM 및 PLM 유경험자, ES6 숙련자 우대 인터넷·IT·통신·모바일·게임>웹프로그래머>프론트엔드|인터넷·IT·통신·모바일·게임>게임(Game)>서버·네트워크개발"
https://kr.indeed.com/viewjob?jk=3cb8c368f838a7e6,[점심시간의 사이렌오더]웹개발자 신규/경력,언더라인 서울 동대문구,,"[웹프로그래밍] - jsp, java, ASP / PHP 개발 능숙자 - HTML, JavaScript, css 능숙자 - MS SQL, Oracle, MySQL 등 DBMS 설계 및 운영 가능자 - 웹, DB서버 구축 및..."
https://kr.indeed.com/viewjob?jk=6eadc1026c4e3e69,유명주식투자 정보제공 기업 안드로이드 앱개발 정규직,인파트너스 서울 서초구,"연봉 60,000,000원 - 70,000,000원","담당업무 자격요건 인원 [담당업무]안드로이드 개발지원자격- 앱개발 경력 2년 이상- Android Native( JAVA 또는 Kotlin), 하이브리드앱 개발 가능- Node.js 가능(필수)- iOS 개발 가능자 (우대..."
https://kr.indeed.com/viewjob?jk=9a7af9ae4b6f9f22,농심엔지니어링 솔루션사업팀 IT개발 경력직 수시,농심엔지니어링 서울 동작구,,열정이 있는 인재 여러분을 기다립니다. 채용구분지원분야 담당업무 인터넷·IT·통신·모바일·게임>응용프로그래머> JAVA|인터넷·IT·통신·모바일·게임>응용프로그래머>C#|인터넷·IT·통신·모바일·게임>데이터베이스·DBA>MS...
https://kr.indeed.com/viewjob?jk=31c8ae4a133b5147,SW(모바일앱 및 웹개발) 신입/경력 정규직 개발자,더조인 서울 강남구,,수 있습니다. 인터넷·IT·통신·모바일·게임>웹프로그래머>JSP|인터넷·IT·통신·모바일·게임>웹프로그래머> JAVA|인터넷·IT·통신·모바일·게임>웹프로그래머>AJAX|인터넷·IT·통신·모바일·게임>웹프로그래머>백엔드|인터넷...
https://kr.indeed.com/viewjob?jk=634bb1f5a4ecd428,"블록체인 , 거래소 개발자",알라딘글로벌알앤디센터 서울 강남구,,"개발자 채용 [자격요건]ㆍ Java , Node , Go , Python 등... 웹프로그래머> JAVA|인터넷·IT·통신·모바일·게임>웹프로그래머>Python|인터넷·IT·통신·모바일·게임>응용프로그래머> JAVA|인터넷·IT·통신..."
https://kr.indeed.com/viewjob?jk=8951e07ad379f069,Java·JSP 정규직 - 신입사원(청년 내일채움공제),블루비즈넷 서울 강서구,"연봉 25,000,000원 - 26,000,000원","직무내용] 담당업무 ＊ JAVA 개발(SI,SM)지원 자격 ＊신입(사원급... 게임>웹프로그래머>JSP|인터넷·IT·통신·모바일·게임>응용프로그래머> JAVA|인터넷·IT·통신·모바일·게임>웹프로그래머>PHP |인터넷·IT·통신..."
https://kr.indeed.com/viewjob?jk=c3060f2b3d98304f,안드로이드 앱/Java 웹 개발자,하이앤씨아이티 서울 영등포구,,담당업무][개발]- 안드로이드 앱 개발 / 안드로이드 스튜디오- 웹개발( Java)- 여의도 보험개발원 근무(1년이상)[근무부서 및 직급/직책]근무부서... 어플리케이션(App)|인터넷·IT·통신·모바일·게임>웹프로그래머> JAVA
https://kr.indeed.com/viewjob?jk=2a97fd806d642347,정규직/병역특례전문요원 단말 에이전트 개발자 신입/경력,아라드네트웍스 서울 양재동,,"Android 및 Linux) 개발 [기본사항] - 신입/경력 2년 [자격요건] - C/C++, Java 중 하나 이상의 개발 가능자 [우대사항] - Linux 경험자 - 안드로이드 개발 경험자 - socket..."
https://kr.indeed.com/viewjob?jk=164bc2fa2e43e913,임베디드 개발 신입/경력 인턴 (정규직전환) (병역특례자 우대),스칼라웍스 서울 금천구,,모바일·게임>시스템프로그래머>임베디드(Embedded)|인터넷·IT·통신·모바일·게임>응용프로그래머>Linux|인터넷·IT·통신·모바일·게임>응용프로그래머>Windows|인터넷·IT·통신·모바일·게임>응용프로그래머> JAVA
https://kr.indeed.com/viewjob?jk=617df176d304ab9c,웹서버개발자(풀스택),넷아이디 서울 강남구,"연봉 35,000,000원 - 40,000,000원","- 요구기술 1. 초급 이상 java 프로그래밍 가능하신 분 2. 웹프로그램... 학력사항: 초대졸 이상, 공학계열 전공자 - 요구기술 1. 초급 이상 java 프로그래밍 가능하신 분 2. 웹프로그램 경험자(HTML, CSS..."
https://kr.indeed.com/viewjob?jk=5351cda14bcbd10d,(주)익스모바일 시스템 개발자 Java 프로그래머 및 시스템 영업직,익스모바일 서울 강남구,,"- 컴퓨터공학 전공 우대 - 자격증(정보처리기사, 산업기사) 우대 인터넷·IT·통신·모바일·게임>응용프로그래머> JAVA|인터넷·IT·통신·모바일·게임>게임(Game)>서버·네트워크개발|무역·영업·판매·매장관리>기술영업>일반기술영업"
